year_month,city,boosted_rate_0-4 Years,boosted_rate_12-15 Years,boosted_rate_16-19 Years,boosted_rate_20-29 Years,boosted_rate_30-49 Years,boosted_rate_5-11 Years,boosted_rate_50-64 Years,boosted_rate_65-74 Years,boosted_rate_75+ Years,fully_vac_rate_0-19 Years,fully_vac_rate_0-4 Years,fully_vac_rate_12-15 Years,fully_vac_rate_16-19 Years,fully_vac_rate_20-29 Years,fully_vac_rate_30-49 Years,fully_vac_rate_5-11 Years,fully_vac_rate_50-64 Years,fully_vac_rate_65-74 Years,fully_vac_rate_75+ Years,onedose_vac_rate_0-19 Years,onedose_vac_rate_0-4 Years,onedose_vac_rate_12-15 Years,onedose_vac_rate_16-19 Years,onedose_vac_rate_20-29 Years,onedose_vac_rate_30-49 Years,onedose_vac_rate_5-11 Years,onedose_vac_rate_50-64 Years,onedose_vac_rate_65-74 Years,onedose_vac_rate_75+ Years,onedose_vac_rate_Total_x,boosted_rate_AI/AN,boosted_rate_Asian,boosted_rate_Black,boosted_rate_Hispanic,boosted_rate_Multi,boosted_rate_NH/PI,boosted_rate_Other/Unknown,boosted_rate_White,fully_vac_rate_AI/AN,fully_vac_rate_Asian,fully_vac_rate_Black,fully_vac_rate_Hispanic,fully_vac_rate_Multi,fully_vac_rate_NH/PI,fully_vac_rate_Other/Unknown,fully_vac_rate_White,onedose_vac_rate_AI/AN,onedose_vac_rate_Asian,onedose_vac_rate_Black,onedose_vac_rate_Hispanic,onedose_vac_rate_Multi,onedose_vac_rate_Other/Unknown,onedose_vac_rate_Total_y,onedose_vac_rate_White,boosted_rate_Female,boosted_rate_Male,boosted_rate_Other,boosted_rate_Total,fully_vac_rate_Female,fully_vac_rate_Male,fully_vac_rate_Other,fully_vac_rate,onedose_vac_rate_Female,onedose_vac_rate_Male,onedose_vac_rate_Other,onedose_vac_rate_Total,Year,Month,Labor Force,Employed,Unemployed,city_rate,Massachusetts Rate
2021-07,Chelsea,,0.0,7.000000000000000,12.0,22.0,,39.0,60.0,61.0,,,55.00000000000000,71.0,65.0,82.0,,92.0,94.0,87.0,,,73.0,89.0,78.0,96.0,,,,97.0,77.0,9.0,50.0,13.0,14.000000000000000,49.0,,inf,40.0,51.0,97.0,40.0,53.0,70.0,,inf,78.0,57.00000000000000,100.0,47.0,60.0,76.0,inf,98.0,85.0,24.0,19.0,,21.0,70.0,62.0,inf,66.0,82.0,73.0,inf,77.0,2021,7,20598,19194,1404,6.8,5.7
2021-07,New Bedford,,0.0,3.0,5.0,12.0,,25.0,43.0,42.0,,,19.0,31.0,32.0,46.0,,63.0,74.0,71.0,,,28.000000000000000,38.0,39.0,55.00000000000000,,72.0,81.0,79.0,49.0,5.0,13.0,13.0,7.000000000000000,14.000000000000000,22.0,inf,18.0,23.0,46.0,39.0,28.000000000000000,19.0,89.0,inf,41.0,30.0,50.0,47.0,36.0,21.0,inf,49.0,45.0,17.0,14.000000000000000,,23.0,44.0,40.0,inf,42.0,51.0,46.0,inf,49.0,2021,7,47938,44015,3923,8.2,5.7
2021-07,Newton,,1.0,21.0,27.0,56.00000000000000,,66.0,74.0,76.0,,,83.0,55.00000000000000,64.0,94.0,,95.0,96.0,95.0,,,96.0,62.0,71.0,100.0,,,,,81.0,23.0,35.0,31.0,24.0,87.0,,inf,46.0,67.0,64.0,71.0,51.0,,,inf,71.0,81.0,68.0,79.0,58.00000000000000,,inf,81.0,76.0,46.0,42.0,inf,44.0,75.0,73.0,inf,74.0,82.0,80.0,inf,81.0,2021,7,47712,45633,2079,4.4,5.7
2021-07,Revere,,0.0,7.000000000000000,12.0,19.0,,29.000000000000000,47.0,42.0,,,52.0,62.0,67.0,75.0,,73.0,78.0,64.0,,,64.0,73.0,78.0,84.0,,80.0,85.0,73.0,70.0,16.0,25.0,11.0,13.0,64.0,,inf,25.0,69.0,65.0,42.0,51.0,99.0,,inf,57.00000000000000,73.0,71.0,48.0,58.00000000000000,97.0,inf,70.0,62.0,22.0,18.0,inf,20.0,64.0,59.0,inf,62.0,72.0,67.0,inf,70.0,2021,7,29042,27013,2029,7.0,5.7
2021-07,Wellesley,,0.0,20.0,23.0,53.0,,68.0,62.0,72.0,,,83.0,53.0,52.0,84.0,,95.0,78.0,92.0,,,96.0,61.0,60.0,90.0,,100.0,85.0,98.0,71.0,,25.0,19.0,18.0,93.0,,inf,41.0,,48.0,56.00000000000000,36.0,,,inf,65.0,,53.0,63.0,41.0,,inf,97.0,70.0,38.0,39.0,,,63.0,67.0,inf,65.0,69.0,74.0,inf,71.0,2021,7,13366,12765,601,4.5,5.7
2021-08,Chelsea,,0.0,7.000000000000000,12.0,22.0,,39.0,60.0,61.0,,,73.0,79.0,70.0,86.0,,94.0,95.0,88.0,,,91.0,97.0,85.0,99.0,,,,98.0,82.0,9.0,50.0,13.0,14.000000000000000,49.0,,inf,40.0,51.0,97.0,42.0,57.00000000000000,78.0,,inf,80.0,58.00000000000000,100.0,50.0,65.0,85.0,inf,98.0,88.0,24.0,19.0,,21.0,74.0,66.0,inf,70.0,86.0,77.0,inf,82.0,2021,8,20539,19275,1264,6.2,5.2
2021-08,New Bedford,,0.0,3.0,5.0,12.0,,25.0,43.0,42.0,,,26.0,35.0,36.0,50.0,,66.0,76.0,72.0,,,38.0,44.0,44.0,60.0,,75.0,83.0,80.0,53.0,5.0,13.0,13.0,7.000000000000000,14.000000000000000,22.0,inf,18.0,24.0,48.0,42.0,32.0,21.0,89.0,inf,43.0,33.0,53.0,51.0,41.0,24.0,inf,53.0,48.0,17.0,14.000000000000000,,23.0,47.0,43.0,inf,45.0,55.00000000000000,50.0,inf,53.0,2021,8,47418,43773,3645,7.7,5.2
2021-08,Newton,,1.0,21.0,27.0,56.00000000000000,,66.0,74.0,76.0,,,89.0,56.00000000000000,66.0,96.0,,97.0,97.0,96.0,,,99.0,63.0,73.0,100.0,,,,,83.0,23.0,35.0,31.0,24.0,87.0,,inf,46.0,67.0,65.0,74.0,54.0,,,inf,72.0,81.0,70.0,82.0,61.0,,inf,83.0,78.0,46.0,42.0,inf,44.0,77.0,75.0,inf,76.0,84.0,81.0,inf,83.0,2021,8,47601,45827,1774,3.7,5.2
2021-08,Revere,,0.0,7.000000000000000,12.0,19.0,,29.000000000000000,47.0,42.0,,,62.0,68.0,72.0,78.0,,75.0,80.0,65.0,,,75.0,80.0,84.0,88.0,,82.0,86.0,74.0,73.0,16.0,25.0,11.0,13.0,64.0,,inf,25.0,75.0,68.0,45.0,55.00000000000000,99.0,,inf,59.0,85.0,73.0,52.0,62.0,97.0,inf,73.0,65.0,22.0,18.0,inf,20.0,67.0,62.0,inf,65.0,76.0,70.0,inf,73.0,2021,8,28908,27128,1780,6.2,5.2
2021-08,Wellesley,,0.0,20.0,23.0,53.0,,68.0,62.0,72.0,,,90.0,55.00000000000000,52.0,85.0,,95.0,79.0,92.0,,,99.0,64.0,62.0,91.0,,,87.0,100.0,73.0,,25.0,19.0,18.0,93.0,,inf,41.0,,49.0,57.00000000000000,37.0,,,inf,66.0,,55.00000000000000,65.0,42.0,,inf,97.0,71.0,38.0,39.0,,,64.0,69.0,inf,66.0,70.0,75.0,inf,73.0,2021,8,13325,12820,505,3.8,5.2
